GeneSym,ENCODE_2015,Pinar_2025,any
YIPF6,1,NA,1
ENSG00000257497.2,NA,NA,0
COA4,1,NA,1
ENSG00000258768.2,NA,NA,0
FANCG,1,NA,1
LSM10,1,NA,1
LINC00930,NA,NA,0
MRPS16,1,NA,1
NSUN5P1,1,NA,1
ENSG00000259972.3,NA,NA,0
MRPL41,1,NA,1
TTC4P1,NA,NA,0
ADAM20P1,0,NA,0
ENSG00000260279.4,NA,NA,0
LINC01963,NA,NA,0
SFXN4,1,NA,1
ENSG00000260917.1,NA,NA,0
ENSG00000261211.2,NA,NA,0
COA3,1,NA,1
ENSG00000261613.2,NA,NA,0
ENSG00000227775.3,NA,NA,0
OLIG1,0,NA,0
ENSG00000262691.1,NA,NA,0
NDUFA6,1,NA,1
KRBA2,0,NA,0
ZNF407-AS1,NA,NA,0
PHBP9,NA,NA,0
CYP4F35P,0,NA,0
ENSG00000265298.1,NA,NA,0
ENSG00000267127.7,NA,NA,0
HSD17B1-AS1,NA,NA,0
KANTR,NA,NA,0
ENSG00000268119.7,NA,NA,0
TRIM69,1,NA,1
TMEM185A,0,NA,0
ZNF37BP,1,NA,1
ENSG00000269937.1,NA,NA,0
TAL2,0,NA,0
KCNQ1OT1,1,NA,1
PFN1P2,0,NA,0
KBTBD13,0,NA,0
RBMS3-AS3,NA,NA,0
FNBP1,1,NA,1
CMC1,1,NA,1
ENSG00000271254.7,NA,NA,0
MAGEH1,0,NA,0
ENSG00000272356.1,NA,NA,0
ENSG00000272140.2,NA,NA,0
ENSG00000272848.2,NA,NA,0
ENSG00000272668.2,NA,NA,0
AMY2B,0,NA,0
ENSG00000273007.2,NA,NA,0
GHRLOS,1,NA,1
SFTPD-AS1,NA,NA,0
CIBAR1,NA,NA,0
LY6G5B,0,NA,0
ENSG00000274265.5,NA,NA,0
C1QTNF9,0,NA,0
UHRF1,1,NA,1
ENSG00000241860.7,NA,NA,0
ENSG00000274776.1,NA,NA,0
GIMAP5,0,NA,0
ENSG00000276805.2,NA,NA,0
STAG3L5P,NA,NA,0
NAA80,NA,NA,0
NLGN3,0,NA,0
LIFR-AS1,NA,NA,0
ANXA6,1,NA,1
PKD1P1,0,NA,0
PICART1,NA,NA,0
MRPL21,1,NA,1
ENSG00000278934.1,NA,NA,0
MIR210HG,1,NA,1
ENSG00000279145.2,NA,NA,0
ENSG00000279762.3,NA,NA,0
MTATP6P1,NA,NA,0
ENSG00000279456.1,NA,NA,0
ENSG00000279789.1,NA,NA,0
CCDC163,NA,NA,0
TMEM272,NA,NA,0
TEX52,NA,NA,0
MTOR,1,NA,1
ENSG00000283662.1,NA,NA,0
SPOUT1,NA,NA,0
RNF5,0,NA,0
DENND11,NA,NA,0
PRSS50,0,NA,0
ENSG00000284672.1,NA,NA,0
DHX16,0,NA,0
ENSG00000285796.1,NA,NA,0
ENSG00000285413.1,NA,NA,0
MRPS18B,0,NA,0
ENSG00000260249.3,NA,NA,0
ENSG00000285886.1,NA,NA,0
C6orf136,0,NA,0
ENSG00000285799.1,NA,NA,0
ENSG00000260597.1,NA,NA,0
