name,uniprot,n_measure,n_tissue,n_cell,n_common,hacells_label,emblcells_label,cell label score,cell label,haatlas_label,emblatlas_label,mspatlas_label,msratlas_label,tissue label score,tissue label,Gobal label score (GLS),Global label
tetratricopeptide repeat domain 3,P53804,4,3,1,3,,common,0,,,common,spleen,common,1,spleen,1,common
tetratricopeptide repeat domain 5,Q8N0Z6,6,4,2,3,common,platelets,1,platelets,ovary,common,muscle,common,2,muscle.ovary,2,common
tetratricopeptide repeat domain 9,Q92623,6,4,2,3,tcellcd4,common,1,tcellcd4,common,esophagus,"brain,heart",common,1,esophagus,1,common
TGF-beta activated kinase 1 (MAP3K7) binding protein 1,Q15750,6,4,2,3,common,common,0,,brain,common,brain,nerve,2,brain,2,common
TGFB induced factor homeobox 2,Q9GZN2,2,1,1,2,,common,0,,,common,,,0,,0,common
THADA armadillo repeat containing,Q6YHU6,6,4,2,4,tcellcd4,common,1,tcellcd4,common,common,muscle,common,1,muscle,1,common
THAP domain containing 11,Q96EK4,6,4,2,5,common,common,0,,common,common,nerve,common,1,nerve,1,common
thiamine triphosphatase,Q9BU02,6,4,2,4,common,platelets,1,platelets,common,common,"brain,muscle",common,0.9,brain.muscle,1,common
thioesterase superfamily member 6,Q8WUY1,6,4,2,4,common,common,0,,liver,liver,common,common,2,liver,2,common
thioredoxin 2,Q99757,6,4,2,3,"monocytes,tcellcd4",monocytes,1.45,monocytes,liver,common,common,common,1,liver,1.45,common
thioredoxin domain containing 12,O95881,6,4,2,3,common,neutrophils,1,neutrophils,stomach,common,"liver,pancreas",common,1,stomach,1,common
thioredoxin domain containing 9,O14530,6,4,2,3,"tcellcd4,tcellcd8",erythrocytes,1,erythrocytes,common,common,"brain,muscle",common,0.9,brain.muscle,1,common
thioredoxin like 1,O43396,6,4,2,4,common,"monocytes,neutrophils",0.9,monocytes.neutrophils,common,common,brain,common,1,brain,1,common
thioredoxin like 4A,P83876,6,4,2,5,common,common,0,,common,common,"heart,muscle",common,0.9,heart.muscle,0.9,common
thioredoxin related transmembrane protein 1,Q9H3N1,6,4,2,3,platelets,"erythrocytes,neutrophils",1,platelets,common,common,spleen,common,1,spleen,1,common
thioredoxin related transmembrane protein 3,Q96JJ7,6,4,2,4,common,"macrophage,tcellcd8",0.9,macrophages.tcellcd8,common,common,"brain,heart",common,0.9,brain.heart,0.9,common
thioredoxin related transmembrane protein 4,Q9H1E5,6,4,2,4,common,neutrophils,1,neutrophils,common,common,brain,common,1,brain,1,common
thiosulfate sulfurtransferase like domain containing 1,Q8NFU3,6,4,2,4,"tcellcd4,tcellcd8",common,0.9,tcellcd4.tcellcd8,liver,common,common,common,1,liver,1,common
thiosulfate sulfurtransferase like domain containing 2,Q5T7W7,2,1,1,2,,common,0,,,common,,,0,,0,common
THO complex subunit 1,Q96FV9,6,4,2,3,common,erythrocytes,1,erythrocytes,common,bonemarrow,"esophagus,spleen",common,1,bonemarrow,1,common
THO complex subunit 2,Q8NI27,6,4,2,4,common,platelets,1,platelets,common,common,ovary,common,1,ovary,1,common
THO complex subunit 6,Q86W42,6,4,2,4,common,monocytes,1,monocytes,common,common,ovary,common,1,ovary,1,common
THO complex subunit 7,Q6I9Y2,6,4,2,3,common,"erythrocytes,neutrophils",0.9,erythrocytes.neutrophils,brain,common,pancreas,common,2,brain.pancreas,2,common
threonine synthase like 2,Q86YJ6,6,4,2,4,tcellcd4,common,1,tcellcd4,common,common,muscle,common,1,muscle,1,common
threonyl-tRNA synthetase 1,P26639,6,4,2,4,common,erythrocytes,1,erythrocytes,common,common,pancreas,common,1,pancreas,1,common
threonyl-tRNA synthetase 3,A2RTX5,6,4,2,3,common,common,0,,common,"heart,muscle",muscle,muscle,2.45,muscle,2.45,common
thrombospondin 3,P49746,5,4,1,3,,common,0,,skin,common,"artery,nerve",common,1,skin,1,common
thrombospondin type 1 domain containing 1,Q9NS62,4,3,1,3,,common,0,,,common,muscle,common,1,muscle,1,common
THUMP domain containing 3,Q9BV44,6,4,2,3,common,erythrocytes,1,erythrocytes,"colon,kidney",common,esophagus,common,1,esophagus,1,common
thymocyte nuclear protein 1,Q9P016,6,4,2,3,"tcellcd4,tcellcd8","erythrocytes,neutrophils",1.8,common,common,common,"liver,pancreas",common,0.9,liver.pancreas,1.8,common
thymosin beta 10,P63313,6,4,2,3,bcell,common,1,bcell,common,"colon,spleen","artery,brain",common,1.8,common,1.8,common
thymosin beta 4 Y-linked,O14604,4,2,2,3,common,common,0,,common,bonemarrow,,,1,bonemarrow,1,common
thyroid hormone receptor associated protein 3,Q9Y2W1,6,4,2,3,common,neutrophils,1,neutrophils,common,common,skin,muscle,2,muscle.skin,2,common
thyroid hormone receptor interactor 12,Q14669,6,4,2,3,common,neutrophils,1,neutrophils,common,common,spleen,"heart,muscle",1,spleen,1,common
thyroid hormone receptor interactor 6,Q15654,6,4,2,3,macrophages,"macrophage,neutrophils",1.45,macrophages,common,common,artery,common,1,artery,1.45,common
TIA1 cytotoxic granule associated RNA binding protein,P31483,6,4,2,5,common,common,0,,common,common,spleen,common,1,spleen,1,common
TIA1 cytotoxic granule associated RNA binding protein like 1,Q01085,6,4,2,5,common,common,0,,common,common,muscle,common,1,muscle,1,common
tight junction associated protein 1,Q5JTD0,4,3,1,3,,common,0,,,common,"artery,nerve",common,0.9,artery.nerve,0.9,common
tight junction protein 1,Q07157,6,4,2,3,platelets,"bcell,macrophage",1,platelets,common,common,nerve,common,1,nerve,1,common
tight junction protein 2,Q9UDY2,6,4,2,3,platelets,platelets,2,platelets,common,common,artery,common,1,artery,2,common
titin,Q8WZ42,6,4,2,3,common,common,0,,common,"heart,muscle",muscle,"heart,muscle",1.9,muscle,1.9,common
"TLE family member 3, transcriptional corepressor",Q04726,6,4,2,3,common,neutrophils,1,neutrophils,common,bonemarrow,esophagus,common,2,bonemarrow.esophagus,2,common
TM2 domain containing 1,Q9BX74,4,3,1,3,,common,0,,,common,spleen,common,1,spleen,1,common
TNF alpha induced protein 8,O95379,6,4,2,3,common,platelets,1,platelets,common,adiposetissue,spleen,common,2,adiposetissue.spleen,2,common
TNF receptor associated factor 2,Q12933,6,4,2,3,common,monocytes,1,monocytes,brain,common,brain,common,2,brain,2,common
TNF receptor associated factor 6,Q9Y4K3,6,4,2,4,common,common,0,,common,bonemarrow,artery,common,2,artery.bonemarrow,2,common
TNF receptor associated protein 1,Q12931,6,4,2,3,common,"macrophage,tcellcd8",0.9,macrophages.tcellcd8,liver,common,"heart,liver",common,1.45,liver,1.45,common
TNFAIP3 interacting protein 1,Q15025,6,4,2,3,common,neutrophils,1,neutrophils,common,adiposetissue,muscle,common,2,adiposetissue.muscle,2,common
TNFRSF1A associated via death domain,Q15628,6,4,2,5,common,common,0,,stomach,common,common,common,1,stomach,1,common
TOG array regulator of axonemal microtubules 1,Q9Y4F4,2,1,1,2,,common,0,,,common,,,0,,0,common
toll like receptor 3,O15455,6,4,2,4,tcellcd8,common,1,tcellcd8,common,common,liver,common,1,liver,1,common
toll like receptor 9,Q9NR96,1,1,0,1,,,0,,,common,,,0,,0,common
TOR signaling pathway regulator,O75663,6,4,2,3,"tcellcd4,tcellcd8",neutrophils,1,neutrophils,common,common,brain,common,1,brain,1,common
torsin 1A interacting protein 1,Q5JTV8,6,4,2,3,"tcellcd4,tcellcd8",neutrophils,1,neutrophils,common,common,artery,common,1,artery,1,common
torsin family 1 member A,O14656,6,4,2,4,common,neutrophils,1,neutrophils,common,common,"brain,liver",common,0.9,brain.liver,1,common
torsin family 1 member B,O14657,6,4,2,3,common,erythrocytes,1,erythrocytes,"colon,stomach",common,liver,common,1,liver,1,common
tousled like kinase 1,Q9UKI8,6,4,2,3,tcellcd4,common,1,tcellcd4,brain,common,ovary,common,2,brain.ovary,2,common
TP53 induced glycolysis regulatory phosphatase,Q9NQ88,6,4,2,3,macrophages,macrophage,2,macrophages,common,common,brain,common,1,brain,2,common
TP53 regulated inhibitor of apoptosis 1,O43715,6,4,2,5,"tcellcd4,tcellcd8",common,0.9,tcellcd4.tcellcd8,common,common,common,common,0,,0.9,common
TP53 regulating kinase,Q96S44,6,4,2,4,common,erythrocytes,1,erythrocytes,common,common,"liver,pancreas",common,0.9,liver.pancreas,1,common
TP53RK binding protein,Q9Y3C4,6,4,2,4,common,"erythrocytes,neutrophils",0.9,erythrocytes.neutrophils,common,common,common,"heart,muscle",0.9,heart.muscle,0.9,common
TPD52 like 2,O43399,6,4,2,3,macrophages,"erythrocytes,neutrophils",1,macrophages,common,common,artery,common,1,artery,1,common
TraB domain containing,Q9H4I3,6,4,2,4,common,"bcell,monocytes",0.9,bcell.monocytes,common,common,muscle,common,1,muscle,1,common
trafficking from ER to golgi regulator,Q92734,6,4,2,3,common,neutrophils,1,neutrophils,liver,common,"brain,liver",common,1.45,liver,1.45,common
trafficking protein particle complex subunit 1,Q9Y5R8,6,4,2,4,common,neutrophils,1,neutrophils,common,common,brain,common,1,brain,1,common
trafficking protein particle complex subunit 10,P48553,6,4,2,3,"macrophages,tcellcd4",common,0.9,macrophages.tcellcd4,common,bonemarrow,brain,common,2,bonemarrow.brain,2,common
trafficking protein particle complex subunit 12,Q8WVT3,6,4,2,3,common,platelets,1,platelets,ovary,common,brain,common,2,brain.ovary,2,common
trafficking protein particle complex subunit 13,A5PLN9,6,4,2,3,"macrophages,monocytes",common,0.9,macrophages.monocytes,liver,common,"artery,brain",common,1,liver,1,common
trafficking protein particle complex subunit 14,Q8WVR3,6,4,2,4,common,common,0,,"brain,colon",common,brain,common,1.45,brain,1.45,common
trafficking protein particle complex subunit 2,P0DI81,6,4,2,4,common,"monocytes,platelets",0.9,monocytes.platelets,common,common,heart,common,1,heart,1,common
trafficking protein particle complex subunit 3,O43617,6,4,2,3,common,"macrophage,neutrophils",0.9,macrophages.neutrophils,common,common,brain,"adrenalgland,ovary",1,brain,1,common
trafficking protein particle complex subunit 4,Q9Y296,6,4,2,3,common,"erythrocytes,neutrophils",0.9,erythrocytes.neutrophils,common,"pancreas,stomach",brain,common,1,brain,1,common
trafficking protein particle complex subunit 5,Q8IUR0,6,4,2,3,"macrophages,tcellcd4",neutrophils,1,neutrophils,common,common,brain,common,1,brain,1,common
trafficking protein particle complex subunit 6B,Q86SZ2,6,4,2,4,common,erythrocytes,1,erythrocytes,common,common,brain,common,1,brain,1,common
trafficking protein particle complex subunit 8,Q9Y2L5,6,4,2,3,common,neutrophils,1,neutrophils,skin,common,"brain,heart",common,1,skin,1,common
trafficking protein particle complex subunit 9,Q96Q05,6,4,2,3,"bcell,monocytes",common,0.9,bcell.monocytes,common,common,brain,"heart,muscle",1,brain,1,common
trans-L-3-hydroxyproline dehydratase,Q96EM0,6,4,2,4,"tcellcd4,tcellcd8",common,0.9,tcellcd4.tcellcd8,common,common,"artery,brain",common,0.9,artery.brain,0.9,common
transcription activation suppressor,Q9UK61,6,4,2,4,common,common,0,,"lung,spleen",common,muscle,common,1,muscle,1,common
transcription activation suppressor family member 2,Q5VWN6,3,2,1,3,,common,0,,,common,,common,0,,0,common
transcription elongation factor A1,P23193,6,4,2,4,"tcellcd4,tcellcd8",erythrocytes,1,erythrocytes,common,common,common,common,0,,1,common
transcription elongation factor A2,Q15560,4,3,1,3,,common,0,,,common,muscle,common,1,muscle,1,common
transcription elongation regulator 1,O14776,6,4,2,4,platelets,common,1,platelets,common,common,"ovary,thyroid",common,0.9,ovary.thyroid,1,common
transcription factor 25,Q9BQ70,6,4,2,4,macrophages,common,1,macrophages,common,common,"adrenalgland,brain",common,0.9,adrenalgland.brain,1,common
"transcription factor A, mitochondrial",Q00059,6,4,2,4,"tcellcd4,tcellcd8",erythrocytes,1,erythrocytes,common,common,common,common,0,,1,common
transcription factor AP-4,Q01664,4,3,1,3,,common,0,,,common,"brain,nerve",common,0.9,brain.nerve,0.9,common
"transcription factor B2, mitochondrial",Q9H5Q4,6,4,2,3,common,erythrocytes,1,erythrocytes,nerve,common,adrenalgland,common,2,adrenalgland.nerve,2,common
transcription factor CP2,Q12800,6,4,2,4,common,platelets,1,platelets,common,common,nerve,common,1,nerve,1,common
transcription factor Dp-2,Q14188,4,3,1,3,,common,0,,,common,esophagus,common,1,esophagus,1,common
transcription termination factor 2,Q9UNY4,4,3,1,3,,erythrocytes,1,erythrocytes,,common,common,common,0,,1,common
transducin beta like 1 Y-linked,Q9BQ87,1,1,0,1,,,0,,,common,,,0,,0,common
transducin beta like 3,Q12788,6,4,2,4,platelets,monocytes,2,monocytes.platelets,common,common,common,common,0,,2,common
transformation/transcription domain associated protein,Q9Y4A5,6,4,2,4,common,common,0,,"colon,stomach",common,ovary,common,1,ovary,1,common
transformer 2 alpha homolog,Q13595,6,4,2,3,common,"monocytes,neutrophils",0.9,monocytes.neutrophils,common,bonemarrow,spleen,common,2,bonemarrow.spleen,2,common
transformer 2 beta homolog,P62995,6,4,2,3,"bcell,monocytes",common,0.9,bcell.monocytes,common,bonemarrow,ovary,common,2,bonemarrow.ovary,2,common
transforming growth factor beta receptor associated protein 1,Q8WUH2,6,4,2,4,common,"monocytes,neutrophils",0.9,monocytes.neutrophils,common,common,brain,common,1,brain,1,common
transforming growth factor beta regulator 1,Q3YBR2,2,1,1,2,,common,0,,,common,,,0,,0,common
transforming growth factor beta regulator 4,Q969Z0,6,4,2,4,common,common,0,,colon,common,heart,common,2,colon.heart,2,common
transient receptor potential cation channel subfamily C member 4 associated protein,Q8TEL6,2,1,1,2,,common,0,,,common,,,0,,0,common
transient receptor potential cation channel subfamily M member 7,Q96QT4,4,3,1,3,,common,0,,,common,esophagus,common,1,esophagus,1,common
transition protein 1,P09430,1,1,0,1,,,0,,,common,,,0,,0,common
translation machinery associated 16 homolog,Q96EY4,6,4,2,4,common,erythrocytes,1,erythrocytes,common,common,ovary,common,1,ovary,1,common
translation machinery associated 7 homolog,Q9Y2S6,6,4,2,3,"tcellcd4,tcellcd8",neutrophils,1,neutrophils,common,common,muscle,common,1,muscle,1,common
translational activator of cytochrome c oxidase I,Q9BSH4,6,4,2,4,common,"macrophage,monocytes",0.9,macrophages.monocytes,common,liver,common,common,1,liver,1,common
translin,Q15631,6,4,2,4,common,"erythrocytes,neutrophils",0.9,erythrocytes.neutrophils,common,common,"brain,nerve",common,0.9,brain.nerve,0.9,common
translin associated factor X,Q99598,6,4,2,5,common,"neutrophils,platelets",0.9,neutrophils.platelets,common,common,common,common,0,,0.9,common
translocase of inner mitochondrial membrane 13,Q9Y5L4,6,4,2,4,"tcellcd4,tcellcd8",common,0.9,tcellcd4.tcellcd8,liver,common,common,common,1,liver,1,common
translocase of inner mitochondrial membrane 17B,O60830,6,4,2,3,common,"erythrocytes,neutrophils",0.9,erythrocytes.neutrophils,colon,common,"heart,skin",common,1,colon,1,common
translocase of inner mitochondrial membrane 21,Q9BVV7,6,4,2,3,common,erythrocytes,1,erythrocytes,common,heart,"heart,muscle",common,1.45,heart,1.45,common
translocase of inner mitochondrial membrane 23 homolog B,Q5SRD1,2,1,1,2,,common,0,,,common,,,0,,0,common
translocase of inner mitochondrial membrane 29,Q9BSF4,6,4,2,5,common,common,0,,common,common,"brain,heart",common,0.9,brain.heart,0.9,common
translocase of inner mitochondrial membrane 44,O43615,6,4,2,4,common,erythrocytes,1,erythrocytes,common,common,"heart,liver",common,0.9,heart.liver,1,common
translocase of inner mitochondrial membrane 50,Q3ZCQ8,6,4,2,4,common,"macrophage,monocytes",0.9,macrophages.monocytes,common,"heart,kidney",common,common,0.9,heart.kidney,0.9,common
translocase of inner mitochondrial membrane 9,Q9Y5J7,6,4,2,3,"tcellcd4,tcellcd8",common,0.9,tcellcd4.tcellcd8,common,pancreas,common,muscle,2,muscle.pancreas,2,common
translocase of outer mitochondrial membrane 20,Q15388,6,4,2,3,tcellcd4,common,1,tcellcd4,bladder,common,common,brain,2,bladder.brain,2,common
translocase of outer mitochondrial membrane 22,Q9NS69,6,4,2,4,tcellcd4,common,1,tcellcd4,common,common,"brain,heart",common,0.9,brain.heart,1,common
translocase of outer mitochondrial membrane 40,O96008,6,4,2,4,common,macrophage,1,macrophages,common,common,"brain,heart",common,0.9,brain.heart,1,common
translocase of outer mitochondrial membrane 70,O94826,6,4,2,4,common,"macrophage,tcellcd8",0.9,macrophages.tcellcd8,common,common,brain,common,1,brain,1,common
"translocated promoter region, nuclear basket protein",P12270,6,4,2,3,"tcellcd4,tcellcd8",neutrophils,1,neutrophils,common,common,ovary,common,1,ovary,1,common
translocation associated membrane protein 1,Q15629,6,4,2,4,"macrophages,monocytes",common,0.9,macrophages.monocytes,common,common,pancreas,common,1,pancreas,1,common
transmembrane 9 superfamily member 4,Q92544,6,4,2,3,monocytes,"erythrocytes,platelets",1,monocytes,common,common,pancreas,common,1,pancreas,1,common
transmembrane and coiled-coil domains 1,Q9UM00,6,4,2,3,macrophages,"erythrocytes,platelets",1,macrophages,common,common,"liver,pancreas",common,0.9,liver.pancreas,1,common
transmembrane and ubiquitin like domain containing 1,Q9BVT8,6,4,2,3,"tcellcd4,tcellcd8",common,0.9,tcellcd4.tcellcd8,"colon,stomach",common,muscle,common,1,muscle,1,common
transmembrane anterior posterior transformation 1,Q6NXT6,6,4,2,4,common,common,0,,liver,common,"brain,muscle",common,1,liver,1,common
transmembrane BAX inhibitor motif containing 1,Q969X1,6,4,2,3,platelets,platelets,2,platelets,common,common,artery,common,1,artery,2,common
transmembrane epididymal protein 1,Q5T9Z0,1,1,0,1,,,0,,,common,,,0,,0,common
transmembrane O-mannosyltransferase targeting cadherins 3,Q6ZXV5,6,4,2,3,macrophages,"erythrocytes,platelets",1,macrophages,common,common,"artery,nerve",common,0.9,artery.nerve,1,common
transmembrane p24 trafficking protein 1,Q13445,6,4,2,3,common,macrophage,1,macrophages,"ovary,prostate",common,"liver,pancreas",common,1.8,common,1.8,common
transmembrane p24 trafficking protein 10,P49755,6,4,2,3,"macrophages,monocytes",macrophage,1.45,macrophages,common,common,pancreas,common,1,pancreas,1.45,common
transmembrane p24 trafficking protein 2,Q15363,6,4,2,3,"macrophages,monocytes","monocytes,neutrophils",0.9,monocytes,common,common,pancreas,common,1,pancreas,1,common
transmembrane p24 trafficking protein 4,Q7Z7H5,6,4,2,3,common,"monocytes,neutrophils",0.9,monocytes.neutrophils,colon,common,"liver,pancreas",common,1,colon,1,common
transmembrane p24 trafficking protein 5,Q9Y3A6,6,4,2,4,common,common,0,,liver,common,liver,common,2,liver,2,common
transmembrane p24 trafficking protein 7,Q9Y3B3,5,3,2,4,common,macrophage,1,macrophages,common,common,,common,0,,1,common
transmembrane protein 106B,Q9NUM4,6,4,2,3,macrophages,"tcellcd4,tcellcd8",1,macrophages,common,common,"adrenalgland,brain",common,0.9,adrenalgland.brain,1,common
transmembrane protein 109,Q9BVC6,6,4,2,3,common,bcell,1,bcell,common,artery,"heart,muscle",common,1,artery,1,common
transmembrane protein 126A,Q9H061,6,4,2,3,common,"macrophage,monocytes",0.9,macrophages.monocytes,stomach,heart,common,common,2,heart.stomach,2,common
transmembrane protein 128,Q5BJH2,6,4,2,4,common,common,0,,lung,common,pancreas,common,2,lung.pancreas,2,common
"transmembrane protein 129, E3 ubiquitin ligase",A0AVI4,2,1,1,2,,common,0,,,common,,,0,,0,common
transmembrane protein 134,Q9H6X4,6,4,2,3,macrophages,bcell,2,bcell.macrophages,common,common,skin,common,1,skin,2,common
transmembrane protein 135,Q86UB9,6,4,2,0,bcell,platelets,2,bcell.platelets,ovary,adiposetissue,liver,adrenalgland,4,common,4,common
transmembrane protein 14C,Q9P0S9,6,4,2,3,macrophages,erythrocytes,2,erythrocytes.macrophages,common,common,"heart,muscle",common,0.9,heart.muscle,2,common
transmembrane protein 160,Q9NX00,6,4,2,3,common,macrophage,1,macrophages,colon,common,brain,common,2,brain.colon,2,common
transmembrane protein 161A,Q9NX61,4,3,1,3,,common,0,,,common,muscle,common,1,muscle,1,common
transmembrane protein 165,Q9HC07,6,4,2,3,"macrophages,monocytes","macrophage,neutrophils",0.9,macrophages,common,common,esophagus,common,1,esophagus,1,common
transmembrane protein 168,Q9H0V1,6,4,2,3,macrophages,common,1,macrophages,common,skin,"colon,stomach",common,1,skin,1,common
transmembrane protein 179B,Q7Z7N9,6,4,2,3,"monocytes,neutrophils","erythrocytes,neutrophils",0.9,neutrophils,common,common,skin,common,1,skin,1,common
transmembrane protein 18,Q96B42,2,1,1,2,,common,0,,,common,,,0,,0,common
transmembrane protein 184A,Q6ZMB5,2,1,1,2,,common,0,,,common,,,0,,0,common
transmembrane protein 184C,Q9NVA4,6,4,2,3,macrophages,macrophage,2,macrophages,common,common,thyroid,common,1,thyroid,2,common
transmembrane protein 199,Q8N511,6,4,2,3,"macrophages,monocytes",erythrocytes,1,erythrocytes,prostate,common,common,common,1,prostate,1,common
transmembrane protein 222,Q9H0R3,6,4,2,3,"monocytes,tcellcd4","neutrophils,tcellcd4",0.9,tcellcd4,common,common,nerve,common,1,nerve,1,common
transmembrane protein 230,Q96A57,6,4,2,3,common,"monocytes,neutrophils",0.9,monocytes.neutrophils,"adiposetissue,heart",common,pancreas,common,1,pancreas,1,common
transmembrane protein 239,Q8WW34,1,1,0,1,,,0,,,common,,,0,,0,common
transmembrane protein 242,Q9NWH2,2,1,1,2,,common,0,,,common,,,0,,0,common
transmembrane protein 243,Q9BU79,6,4,2,3,"tcellcd4,tcellcd8",bcell,1,bcell,common,common,artery,common,1,artery,1,common
transmembrane protein 258,P61165,6,4,2,3,macrophages,common,1,macrophages,common,pancreas,pancreas,common,2,pancreas,2,common
transmembrane protein 259,Q4ZIN3,6,4,2,5,common,common,0,,common,common,"heart,liver",common,0.9,heart.liver,0.9,common
transmembrane protein 263,Q8WUH6,6,4,2,5,common,common,0,,common,common,"artery,heart",common,0.9,artery.heart,0.9,common
transmembrane protein 30A,Q9NV96,6,4,2,3,"monocytes,neutrophils","macrophage,neutrophils",0.9,neutrophils,common,common,brain,common,1,brain,1,common
transmembrane protein 33,P57088,6,4,2,3,"macrophages,monocytes","macrophage,neutrophils",0.9,macrophages,common,common,brain,common,1,brain,1,common
transmembrane protein 41B,Q5BJD5,6,4,2,3,common,platelets,1,platelets,common,liver,pancreas,common,2,liver.pancreas,2,common
transmembrane protein 42,Q69YG0,2,1,1,2,,common,0,,,common,,,0,,0,common
transmembrane protein 63B,Q5T3F8,6,4,2,3,"macrophages,platelets",erythrocytes,1,erythrocytes,common,common,muscle,common,1,muscle,1,common
transmembrane protein 68,Q96MH6,6,4,2,4,common,erythrocytes,1,erythrocytes,common,common,"artery,brain",common,0.9,artery.brain,1,common
transmembrane protein 70,Q9BUB7,6,4,2,3,macrophages,"macrophage,monocytes",1.45,macrophages,common,common,"heart,muscle",common,0.9,heart.muscle,1.45,common
transmembrane protein 74,Q96NL1,1,1,0,1,,,0,,,common,,,0,,0,common
transmembrane protein 87A,Q8NBN3,6,4,2,3,"macrophages,monocytes","monocytes,neutrophils",0.9,monocytes,common,common,pancreas,common,1,pancreas,1,common
transport and golgi organization 2 homolog,Q6ICL3,6,4,2,3,common,erythrocytes,1,erythrocytes,common,heart,heart,common,2,heart,2,common
"transporter 1, ATP binding cassette subfamily B member",Q03518,6,4,2,3,common,"macrophage,neutrophils",0.9,macrophages.neutrophils,common,spleen,spleen,common,2,spleen,2,common
"transporter 2, ATP binding cassette subfamily B member",Q03519,6,4,2,3,common,common,0,,colon,spleen,spleen,common,2,spleen,2,common
transportin 1,Q92973,6,4,2,4,common,"macrophage,neutrophils",0.9,macrophages.neutrophils,common,common,heart,common,1,heart,1,common
transportin 3,Q9Y5L0,6,4,2,3,macrophages,"erythrocytes,neutrophils",1,macrophages,common,common,brain,common,1,brain,1,common
treacle ribosome biogenesis factor 1,Q13428,6,4,2,4,tcellcd8,common,1,tcellcd8,common,common,ovary,common,1,ovary,1,common
trinucleotide repeat containing adaptor 6B,Q9UPQ9,6,4,2,4,common,common,0,,"bonemarrow,spleen",common,muscle,common,1,muscle,1,common
trinucleotide repeat containing adaptor 6C,Q9HCJ0,6,4,2,1,macrophages,"tcellcd4,tcellcd8",1,macrophages,"colon,stomach","heart,muscle","artery,brain",common,2.7,common,2.7,common
TRIO and F-actin binding protein,Q9H2D6,6,4,2,3,"macrophages,tcellcd4",neutrophils,1,neutrophils,common,adiposetissue,common,common,1,adiposetissue,1,common
triosephosphate isomerase 1,P60174,6,4,2,3,"tcellcd4,tcellcd8","monocytes,neutrophils",1.8,common,common,common,muscle,common,1,muscle,1.8,common
tripartite motif containing 22,Q8IYM9,6,4,2,4,common,common,0,,common,spleen,artery,common,2,artery.spleen,2,common
tripartite motif containing 23,P36406,4,2,2,3,common,"neutrophils,tcellcd4",0.9,neutrophils.tcellcd4,common,common,,,0,,0.9,common
tripartite motif containing 26,Q12899,6,4,2,4,common,"bcell,monocytes",0.9,bcell.monocytes,common,common,liver,common,1,liver,1,common
tripartite motif containing 27,P14373,6,4,2,3,tcellcd4,common,1,tcellcd4,stomach,common,liver,common,2,liver.stomach,2,common
tripartite motif containing 28,Q13263,6,4,2,5,common,common,0,,common,common,ovary,common,1,ovary,1,common
tripartite motif containing 33,Q9UPN9,6,4,2,4,common,neutrophils,1,neutrophils,common,common,ovary,common,1,ovary,1,common
tripartite motif containing 34,Q9BYJ4,2,1,1,2,,common,0,,,common,,,0,,0,common
tripartite motif containing 38,O00635,6,4,2,3,common,"monocytes,neutrophils",0.9,monocytes.neutrophils,common,"colon,spleen",artery,common,1,artery,1,common
tripartite motif containing 44,Q96DX7,4,3,1,3,,common,0,,,common,heart,common,1,heart,1,common
tripartite motif containing 52,Q96A61,2,1,1,2,,common,0,,,common,,,0,,0,common
tripartite motif containing 56,Q9BRZ2,6,4,2,3,"tcellcd4,tcellcd8",platelets,1,platelets,common,common,liver,common,1,liver,1,common
tripartite motif containing 65,Q6PJ69,4,3,1,3,,macrophage,1,macrophages,,common,common,common,0,,1,common
tripeptidyl peptidase 2,P29144,6,4,2,4,common,tcellcd8,1,tcellcd8,liver,common,common,common,1,liver,1,common
tRNA methyltransferase 1,Q9NXH9,6,4,2,4,common,common,0,,stomach,common,muscle,common,2,muscle.stomach,2,common
tRNA methyltransferase 1 like,Q7Z2T5,6,4,2,4,common,platelets,1,platelets,common,common,muscle,common,1,muscle,1,common
"tRNA methyltransferase 10C, mitochondrial RNase P subunit",Q7L0Y3,6,4,2,6,common,common,0,,common,common,common,common,0,,0,common
tRNA methyltransferase 2 homolog A,Q8IZ69,6,4,2,3,macrophages,macrophage,2,macrophages,common,common,liver,common,1,liver,2,common
tRNA methyltransferase 2 homolog B,Q96GJ1,4,3,1,3,,common,0,,,common,"heart,muscle",common,0.9,heart.muscle,0.9,common
tRNA methyltransferase 44 homolog,Q8IYL2,2,1,1,2,,common,0,,,common,,,0,,0,common
tRNA methyltransferase 5,Q32P41,6,4,2,3,common,erythrocytes,1,erythrocytes,common,common,muscle,"adrenalgland,liver",1,muscle,1,common
tRNA methyltransferase 6 non-catalytic subunit,Q9UJA5,6,4,2,3,common,erythrocytes,1,erythrocytes,"bonemarrow,stomach",common,skin,common,1,skin,1,common
tRNA methyltransferase 61A,Q96FX7,6,4,2,4,"tcellcd4,tcellcd8",common,0.9,tcellcd4.tcellcd8,common,common,brain,common,1,brain,1,common
tRNA methyltransferase 61B,Q9BVS5,6,4,2,3,tcellcd8,common,1,tcellcd8,"colon,stomach",common,"heart,liver",common,1.8,common,1.8,common
tRNA methyltransferase activator subunit 11-2,Q9UI30,6,4,2,3,tcellcd4,erythrocytes,2,erythrocytes.tcellcd4,common,common,liver,common,1,liver,2,common
tRNA nucleotidyl transferase 1,Q96Q11,6,4,2,4,common,"erythrocytes,platelets",0.9,erythrocytes.platelets,common,common,brain,common,1,brain,1,common
